runtime,rating,votes,gross_earn,director_avg_earn,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
112.0,8.5,842798.0,13.18,13.18,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146.0,7.5,657641.0,424.67,239.1016666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150.0,8.5,816651.0,32.57,10.331999999999999,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136.0,7.8,830936.0,259.77,247.82666666666668,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115.0,8.0,631403.0,227.47,96.36666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
137.0,8.4,707837.0,85.16,278.42571428571426,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98.0,8.1,729988.0,217.58,180.12333333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,8.3,732902.0,46.36,31.095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90.0,7.8,598725.0,145.0,45.205,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161.0,7.8,650083.0,258.37,194.03454545454545,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132.0,8.1,681515.0,100.49,59.93259259259259,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120.0,7.8,692549.0,96.96,86.519,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,8.0,724036.0,261.44,158.778,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128.0,7.6,627447.0,209.03,68.76142857142857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99.0,8.1,794042.0,59.1,28.94375,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.0,8.1,719957.0,206.45,158.778,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,6.9,608617.0,218.82,114.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0,7.1,644434.0,309.42,169.03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144.0,8.0,651188.0,167.45,81.02374999999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108.0,8.0,1014875.0,363.07,363.07,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.0,8.1,680274.0,16.5,27.137272727272727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.0,8.0,839465.0,228.43,73.78190476190477,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118.0,8.2,662084.0,37.63,46.121111111111105,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
90.0,7.9,667352.0,267.67,284.3675,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
